Input,Winner,Loser,f:DepV,m:*Cmplx,af:Free-V,p:Algn,m:CdCnd,f:DepC,f:Max,p:LxPr,m:NoCoda
kentapal,.ken.ta.pal.,.ke.nA.ta.pa.<l>,W,,,W,,,W,,L
waNalk,.wa.Nal.<k>,.wa.Nalk.,,W,,L,W,,L,,
waNalk,.wa.Nal.<k>,.wa.Nal.kA.,W,,,,,,L,,
Naluk,.Na.lu.<k>,.Na.luk.,,,,L,W,,L,,W
maR,.maR.TA.,.maR.,L,,,,,L,,W,
maR,.maR.TA.,.ma.RA.,,,,W,,L,,,L
Relk,.Rel.kA.,.Rel.<k>,L,,,,,,W,W,
yak,.ya.kA.,.yak.CA.,,,,L,W,W,,,W
kaN,.kaN.KA.,.ka.NA.,,,,W,,L,,,L
yiliyili,.yi.li.yil.<i>,.yi.li.yi.li.,,,W,L,,,L,,L
yukarpa,.yu.kar.<pa>,.yu.karp.<a>,,W,,,W,,L,,
yukarpa,.yu.kar.<pa>,.yu.kar.pA.<a>,W,,,,,,L,,
NawuNawu,.Na.wu.Na.<w><u>,.Na.wu.<N><a><w><u>,,,,,,,W,,
muNkumuNku,.muN.ku.mu.<N><k><u>,.muN.ku.muN.<k><u>,,,,,W,,L,,W
wiTe,.wi.Te.,.wiT.<e>,,,L,W,,,W,W,W
wiTe,.wi.Te.,.wiT.CA.<e>,W,,L,W,,W,W,,W
wiTe,.wi.Te.,.wi.TA.<e>,W,,L,W,,,W,,
