Input,Winner,Loser,m:*Cmplx,m:CdCnd,p:LxPr,f:DepV,af:Free-V,p:Algn,m:NoCoda,f:Max,f:DepC,Rank
waNalk,.wa.Nal.<k>,.wa.Nalk.,W,W,,,,L,,L,,1
wiTe,.wi.Te.,.wiT.<e>,,,W,,L,W,W,W,,1
Naluk,.Na.lu.<k>,.Na.luk.,,W,,,,L,W,L,,1
maR,.maR.TA.,.maR.,,,W,L,,,,,L,1
muNkumuNku,.muN.ku.mu.<N><k><u>,.muN.ku.muN.<k><u>,,W,,,,,W,L,,1
Relk,.Rel.kA.,.Rel.<k>,,,W,L,,,,W,,1
yak,.ya.kA.,.yak.CA.,,W,,,,L,W,,W,1
yukarpa,.yu.kar.<pa>,.yu.karp.<a>,W,W,,,,,,L,,1
kentapal,.ken.ta.pal.,.ke.nA.ta.pa.<l>,,,,W,,W,L,W,,2
yukarpa,.yu.kar.<pa>,.yu.kar.pA.<a>,,,,W,,,,L,,2
wiTe,.wi.Te.,.wi.TA.<e>,,,,W,L,W,,W,,2
wiTe,.wi.Te.,.wiT.CA.<e>,,,,W,L,W,W,W,W,2
waNalk,.wa.Nal.<k>,.wa.Nal.kA.,,,,W,,,,L,,2
yiliyili,.yi.li.yil.<i>,.yi.li.yi.li.,,,,,W,L,L,L,,3
maR,.maR.TA.,.ma.RA.,,,,,,W,L,,L,4
kaN,.kaN.KA.,.ka.NA.,,,,,,W,L,,L,4
NawuNawu,.Na.wu.Na.<w><u>,.Na.wu.<N><a><w><u>,,,,,,,,W,,6
